country,year,pct_fully,pct_partial_d3,pct_partial_started,pct_zero_dose
Rwanda,2020,97.51789749495256,1.2513503266566346,0.45605173585597925,0.7747004425348223
Gambia,2019,90.16592769581106,3.575436920038598,5.369269076771843,0.889366307378495
Lesotho,2023,85.124765460482,1.2043039815982155,12.779845578052544,0.8910849798672444
Sudan,1989,84.61538461538461,0.4962779156327599,12.656194611839766,2.232142857142861
Burundi,2016,93.6665873142538,3.7919128608975115,0.26458528727468433,2.276914537574001
Malawi,2016,91.0871632911459,2.147839821698966,4.264906999132691,2.500089888022444
Burkina Faso,2021,85.97364745672114,4.001577645722492,7.228972334156893,2.7958025633994765
Eswatini,2006,91.76299215193632,0.5051645392919824,4.921850939307646,2.809992369464055
Sierra Leone,2019,74.1653977382814,5.929898243454687,16.80388513523461,3.100818883029305
São Tomé & P.,2008,84.37175384537656,3.209875956826906,8.853411399579429,3.5649587982171056
Uganda,2016,77.36594968273891,1.2873112868695813,17.69008908351627,3.656649946875234
Togo,2013,74.42998812002773,8.427269044762738,12.452427165932093,4.690315669277439
Ghana,2022,86.57346310942185,2.9653383474297215,5.631106867832827,4.8300916753156
Namibia,2013,90.6359895446846,0.0,9.834225097671307,5.100139258814721
Zambia,2024,86.38561774993319,3.8734565973169737,4.583464070968191,5.1574615817816465
Congo (Brazz.),2011,75.08567659851074,0.0,37.411374983449804,6.007674863865475
Kenya,2022,85.80699162469013,0.3501652135400377,7.677263400555773,6.165579761214062
South Africa,2016,89.290973533548,0.0,24.836554694418027,6.9149332577284355
Senegal,2023,75.64215666118929,8.758411690254746,7.71915497472672,7.880276673829243
Liberia,2019,73.83735085457569,0.0,21.389311861034045,8.827879363032636
Tanzania,2022,86.29091199013911,4.252980320301006,0.3920261293513079,9.064081560208578
Mauritania,2019,75.4217944517385,0.0,15.393710868621056,9.818170396937361
Zimbabwe,2015,81.64451591086984,2.357614721636537,6.173519529594657,9.824349837898964
Gabon,2020,65.9386360566313,3.004874600365085,20.500608042481744,10.555881300521875
Benin,2018,68.08144170451878,5.613200376913838,14.534643854695176,11.770714063872205
Côte d'Ivoire,2021,60.85883369726432,0.0,31.61085973125931,12.720306265970848
Cameroon,2018,65.3274317867342,7.2770373504380785,13.896855384335637,13.498675478492089
Comoros,2012,76.34547744104627,0.0,11.310953532352201,14.202987734974997
Mozambique,2022,64.24068490307796,0.0,31.109231698111195,15.175228248590173
Mali,2023,69.66404950465845,5.2892755712068436,9.431199047707949,15.615475876426757
Niger,2012,68.97301713574232,0.0,15.119705494508011,16.006483114821307
Madagascar,2021,63.91956485873719,4.545823119892546,9.812586398239773,21.72202562313049
Guinea,2018,39.84564657267844,1.3455568180920565,32.62404184209346,26.18475476713604
Ethiopia,2019,58.18953740725051,2.5567030867192173,11.893235993735196,27.360523512295075
DR Congo,2023,55.11421234570341,0.0,23.38422989674587,30.71356754759161
Angola,2023,48.60719026189701,0.0,24.2697822595228,32.51506533917923
Chad,2014,57.97448354012971,0.0,25.50504490663115,40.014555812413334
Nigeria,2024,37.857397709354245,0.0,7.6700361512111925,54.71689419995936
